plotID,siteID,diversity_shannon,MPD_phy_abundance,MPD_func_abundance,convexHull,sumSquares_sum,variance_sum,pc1_mean,pc1_sd,pc1_max,pc1_min,pc1_range,pc2_mean,pc2_sd,pc2_max,pc2_min,pc2_range,coefVariantion,NDVI_mean,NDVI_sd,NDVI_max,NDVI_min,NDVI_range,PRI_mean,PRI_sd,PRI_max,PRI_min,PRI_range,RVSI_mean,RVSI_sd,RVSI_max,RVSI_min,RVSI_range,reNDVI_mean,reNDVI_sd,reNDVI_max,reNDVI_min,reNDVI_range,SWIR1_mean,SWIR1_sd,SWIR1_max,SWIR1_min,SWIR1_range,SWIR2_mean,SWIR2_sd,SWIR2_max,SWIR2_min,SWIR2_range,NIR_mean,NIR_sd,NIR_max,NIR_min,NIR_range,chm_mean,empty_volume_mean,euphotic_depth_mean,euphotic_tla_mean,euphotic_volume_mean,filled_voxel_ratio_mean,lai_mean,max_lad_mean,max_lad_height_mean,mean_lad_height_mean,oligophotic_tla_mean,oligophotic_volume_mean,porosity_ratio_mean,quantile_10_mean,quantile_25_mean,quantile_50_mean,quantile_75_mean,quantile_90_mean,sd_lad_column_mean,toc_rugosity_mean,within_canopy_rugosity_mean,chm_sd,empty_volume_sd,euphotic_depth_sd,euphotic_tla_sd,euphotic_volume_sd,filled_voxel_ratio_sd,lai_sd,max_lad_sd,max_lad_height_sd,mean_lad_height_sd,oligophotic_tla_sd,oligophotic_volume_sd,porosity_ratio_sd,quantile_10_sd,quantile_25_sd,quantile_50_sd,quantile_75_sd,quantile_90_sd,sd_lad_column_sd,toc_rugosity_sd,within_canopy_rugosity_sd,chm_max,empty_volume_max,euphotic_depth_max,euphotic_tla_max,euphotic_volume_max,filled_voxel_ratio_max,lai_max,max_lad_max,max_lad_height_max,mean_lad_height_max,oligophotic_tla_max,oligophotic_volume_max,porosity_ratio_max,quantile_10_max,quantile_25_max,quantile_50_max,quantile_75_max,quantile_90_max,sd_lad_column_max,toc_rugosity_max,within_canopy_rugosity_max,chm_min,empty_volume_min,euphotic_depth_min,euphotic_tla_min,euphotic_volume_min,filled_voxel_ratio_min,lai_min,max_lad_min,max_lad_height_min,mean_lad_height_min,oligophotic_tla_min,oligophotic_volume_min,porosity_ratio_min,quantile_10_min,quantile_25_min,quantile_50_min,quantile_75_min,quantile_90_min,sd_lad_column_min,toc_rugosity_min,within_canopy_rugosity_min,chm_range,empty_volume_range,euphotic_depth_range,euphotic_tla_range,euphotic_volume_range,filled_voxel_ratio_range,lai_range,max_lad_range,max_lad_height_range,mean_lad_height_range,oligophotic_tla_range,oligophotic_volume_range,porosity_ratio_range,quantile_10_range,quantile_25_range,quantile_50_range,quantile_75_range,quantile_90_range,sd_lad_column_range,toc_rugosity_range,within_canopy_rugosity_range,latitude,longitude,dsm_mean,dtm_mean,eastness_mean,northness_mean,slope_mean,tpi_mean,tri_mean,dsm_sd,dtm_sd,eastness_sd,northness_sd,slope_sd,tpi_sd,tri_sd,dsm_max,dtm_max,eastness_max,northness_max,slope_max,tpi_max,tri_max,dsm_min,dtm_min,eastness_min,northness_min,slope_min,tpi_min,tri_min,dsm_range,dtm_range,eastness_range,northness_range,slope_range,tpi_range,tri_range,HARV,MLBS,ORNL,SERC,TALL
MLBS_001,MLBS,0.861625651,102.4445908,0.100907383,0.154758565,0.364858082,0.325217,0.036520031,0.01012303,0.0979,0.00865,0.08925,0.198918758,0.570188148,1.781382757,-1.352885473,3.134268231,0.441159502,0.875308455,0.050472314,0.954332186,0.489297297,0.465034889,-0.040133752,0.017968043,0.056,-0.089615932,0.145615932,-0.026984469,0.00866662,-0.005575,-0.0492,0.043625,0.496425654,0.064896355,0.702184874,0.243322204,0.45886267,0.14217463,0.0311268,0.22469,0.047853333,0.176836667,0.054319062,0.013341687,0.119311392,0.013712658,0.105598734,0.339330321,0.084568732,0.579272273,0.125124091,0.454148182,14.3424668,40,7.333333333,0.938293334,733.3333333,0.964046665,1.443569787,0.24931833,8.6,5.866666667,0.50526666,353.3333333,0.035953333,2,3.4,5.966666667,8.4,10.06666667,0.074206667,47340.10025,0.015556232,0.533954813,50.70925528,1.175139303,0.134561664,117.5139303,0.045729469,0.207015399,0.04233952,2.848558533,0.351865775,0.072454266,118.7233679,0.045729466,0,0.430945804,0.549891764,0.430945804,0.776132046,0.01091928,44832.07073,0.003312143,15.08100033,100,9,1.180999994,900,1,1.816995621,0.321023941,12,6,0.635999978,600,0.100000001,2,4,7,9,11.5,0.093800001,88034.39844,0.021100413,13.22700024,0,5,0.745000005,500,0.899999976,1.146226048,0.19981584,5,5,0.401199996,200,0,2,3,5,8,9,0.055300001,666.6000366,0.009830027,1.854000092,100,4,0.43599999,400,0.100000024,0.670769572,0.121208102,7,1,0.234799981,400,0.100000001,0,1,2,1,2.5,0.0385,87367.7984,0.011270386,37.360694,-80.524985,1322.334855,1307.992407,-0.194408699,0.27083258,5.20610863,0.02104841,0.712411063,1.069275694,1.055720089,0.75979121,0.608957542,0.394733579,0.064164018,0.061739654,1323.947021,1309.828979,0.96515274,0.998973072,5.950594425,0.107666016,0.765487671,1320.371948,1306.380005,-0.984115303,-0.939161599,4.459156513,-0.062255859,0.607513428,3.575073242,3.448974609,1.949268043,1.93813467,1.491437912,0.169921875,0.157974243,0,1,0,0,0
MLBS_002,MLBS,0.982479364,72.92262651,0.053808418,0.125501563,0.619295357,0.458300074,0.036694375,0.009093915,0.07085,0.014,0.05685,0.401049789,0.676917554,2.29298191,-1.37469826,3.66768017,0.442191999,0.884933838,0.044706074,0.949081164,0.594557823,0.354523341,-0.021932606,0.016154655,0.046632124,-0.067758749,0.114390873,-0.027587109,0.00963575,-0.005825,-0.055475,0.04965,0.531342678,0.055029437,0.664945496,0.311915608,0.353029889,0.152876594,0.036861483,0.266385833,0.056436667,0.209949167,0.05624173,0.013548097,0.102792405,0.021143038,0.081649367,0.370350277,0.099497382,0.640655,0.116791364,0.523863636,21.48587489,56.25,8.875,1.280099995,887.5,0.96845625,1.969390906,0.24307734,14.9375,10.5,0.689287499,900,0.03154375,2.96875,5.125,9.5,13.71875,15.875,0.072693749,1273.631166,0.014105372,0.879767862,51.23475383,1.5,0.183711029,150,0.028839046,0.282649378,0.04747134,4.493977451,0.730296743,0.098930601,126.4911064,0.028839047,0.125,0.288675135,0.516397779,0.729583214,0.885061203,0.017753027,464.4457514,0.004534418,22.70199966,100,12,1.612599969,1200,1,2.480941057,0.333167702,19,12,0.868300021,1100,0.0625,3,6,10,15,17,0.1153,2444.900391,0.020433579,19.70100021,0,7,0.95690000099999994,700,0.9375,1.472056389,0.162602276,5,9,0.515200019,700,0,2.5,5,9,12,14,0.046300001,471.1004333,0.004223776,3.000999451,100,5,0.655699968,500,0.0625,1.008884668,0.170565426,14,3,0.353100002,400,0.0625,0.5,1,1,3,3,0.068999998,1973.799957,0.016209803,37.372044,-80.524241,1194.406273,1172.92038,0.262950438,0.341042571,5.635590985,-0.110206604,0.826221466,1.800897198,1.194906732,0.659840436,0.658377386,1.583055284,0.331562634,0.207410434,1196.947021,1175.213013,0.93476665,0.99826771,8.63524437,0.602050781,1.190124512,1191.827026,1170.973999,-0.93144393,-0.938153684,3.292675495,-0.734375,0.532028198,5.119995117,4.239013672,1.86621058,1.936421394,5.342568874,1.336425781,0.658096313,0,1,0,0,0
MLBS_003,MLBS,0.563383724,56.61474024,0.042713306,0.135928767,0.274468783,0.270202282,0.038906813,0.011372456,0.0962,0.0061,0.0901,0.064663366,0.519685433,1.482768388,-1.541041734,3.023810122,0.448685708,0.859044739,0.046231146,0.946919431,0.627035027,0.319884404,-0.030201654,0.018660923,0.056994819,-0.075586447,0.132581265,-0.024366703,0.007495115,-0.006,-0.0481,0.0421,0.481348508,0.060489015,0.674325674,0.287749288,0.386576387,0.142655736,0.031769233,0.236470833,0.03615,0.200320833,0.057450441,0.014941429,0.124607595,0.011397468,0.113210127,0.311435544,0.075335715,0.539693636,0.104484545,0.435209091,23.97726657,46.66666667,9.666666667,0.980079989,966.6666667,0.976766666,1.507786258,0.209020356,18.66666667,12.6,0.527706667,1073.333333,0.023233333,3,5.9,10.7,15.53333333,18.4,0.059846668,1446.253719,0.013706994,1.01165474,51.63977795,3.086066999,0.192503952,308.6066999,0.025780994,0.296151039,0.034951265,4.700557211,1.183215957,0.103648323,265.8320272,0.025780992,0,0.280305955,0.49280538,0.812110713,0.985610761,0.009000624,507.4309868,0.006226521,25.79100037,100,15,1.388499975,1500,1,2.13607502,0.261754006,23,15,0.747600019,1400,0.0526,3,6,11.5,17,20,0.0757,2304.300049,0.023638656,22.41799927,0,6,0.64319998,600,0.947399974,0.989511967,0.14819181,9,11,0.346300006,600,0,3,5,10,14.5,17,0.043200001,729.4006348,0.007508329,3.373001099,100,9,0.745299995,900,0.052600026,1.146563053,0.113562196,14,4,0.401300013,800,0.0526,0,1,1.5,2.5,3,0.032499999,1574.899414,0.016130328,37.368524,-80.526977,1242.792944,1218.815666,-0.42975392,-0.10040528,8.096914083,-0.048620605,1.112150574,1.872719154,1.748139957,0.628331285,0.681257782,0.469450292,0.117420404,0.070237893,1245.583984,1221.286987,0.910643935,0.814202309,8.699514389,0.08996582,1.198364258,1240.489014,1216.172974,-0.998404205,-0.996974528,6.882510662,-0.302734375,0.969009399,5.094970703,5.114013672,1.90904814,1.811176836,1.817003727,0.392700195,0.229354858,0,1,0,0,0
MLBS_004,MLBS,1.492788795,76.41799771,0.087419635,0.073564657,0.431638101,0.421862067,0.02561425,0.009538373,0.0609,0.0042,0.0567,0.098741074,0.649439055,1.804639697,-1.603438537,3.408078234,0.419315691,0.918682254,0.011445791,0.946227233,0.83127572,0.114951513,0.013463626,0.020822555,0.095435685,-0.059203445,0.154639129,-0.014949188,0.008069567,0.00285,-0.0474,0.05025,0.636004394,0.051359578,0.763170614,0.401689708,0.361480906,0.126265496,0.041727949,0.246331667,0.02996,0.216371667,0.04257778,0.015635717,0.096794937,0.008977215,0.087817722,0.337793605,0.088765412,0.553987273,0.08962,0.464367273,28.45759989,100,17.73333333,2.150773327,1773.333333,0.958566666,3.308868456,0.381840894,13.26666667,11.4,1.158099993,733.3333333,0.041433334,3.166666667,7,12.96666667,19.13333333,22.8,0.103020001,2757.199475,0.037117825,3.400000485,155.8387445,3.863134676,0.488957303,386.3134676,0.061139501,0.752241999,0.100517503,6.295879227,2.501428163,0.263271894,249.7617913,0.06113951,0.523268118,0.9258201,1.827045494,2.559761894,2.827164152,0.032641981,1373.358984,0.016365461,32.23799896,600,26,2.822700024,2600,1,4.342635632,0.621031225,25,15,1.519899964,1100,0.230800003,4,8,15,22,26,0.185200006,6097.499023,0.083201908,17.39599991,0,9,0.986299992,900,0.769200027,1.517378569,0.215246722,5,6,0.531099975,300,0,2,4,7,11,13.5,0.053399999,966.0001831,0.020477699,14.84199905,600,17,1.836400032,1700,0.230799973,2.825257063,0.405784503,20,9,0.988799989,800,0.230800003,2,4,8,11,12.5,0.131800007,5131.49884,0.062724208,37.429337,-80.511885,915.7343262,887.2767375,0.0072772,-0.177977266,10.4578087,0.148284912,1.47962265,4.865565783,2.417723508,0.648127504,0.7827856,3.617383067,0.426104491,0.457162328,920.2949829,890.1959839,0.935899377,0.958571315,15.28316116,0.848144531,2.107620239,899.6760254,882.2800293,-0.927673042,-0.999171317,4.662721634,-0.579650879,0.934867859,20.61895752,7.91595459,1.863572419,1.957742631,10.62043953,1.42779541,1.17275238,0,1,0,0,0
MLBS_005,MLBS,0.54218172,50.16304146,0.037166226,0.126155759,0.318027344,0.19145879699999999,0.050034594,0.010915694,0.09745,0.0253,0.07215,0.355073361,0.437423873,1.577113525,-1.28292339,2.860036915,0.422461363,0.845005131,0.045083734,0.919381006,0.588462412,0.330918594,-0.040954341,0.013878602,0.020487805,-0.077186964,0.097674769,-0.028894266,0.007724426,-0.0074,-0.05255,0.04515,0.4534054,0.048324353,0.628532974,0.283987275,0.3445457,0.168430577,0.02553521,0.249495833,0.069201667,0.180294167,0.071108085,0.013153197,0.121136709,0.032229114,0.088907595,0.342090632,0.066185923,0.527866818,0.120953636,0.406913182,20.41446673,186.6666667,9.8,1.131053336,980,0.912926674,1.740052223,0.25244392,11.4,9.066666667,0.609006663,726.6666667,0.087073333,2.7,5.1,9.4,12.83333333,15.13333333,0.072266667,7437.165849,0.013092883,3.665958589,364.2343568,2.512824251,0.239055145,251.2824251,0.115370464,0.367775161,0.054378546,4.954074802,1.099783528,0.128721339,475.7950739,0.115370462,0.560611911,0.849369514,3.235958679,2.311977097,1.674031347,0.010858616,9878.491351,0.008608996,33.46099854,1500,13,1.718899965,1300,1,2.644459963,0.36687687,18,11,0.925599992,2200,0.5,4,8,21,21,21,0.102300003,38013.39844,0.026592245,18.33399963,0,6,0.741699994,600,0.5,1.141070962,0.173408493,5,7,0.399399996,300,0,2,4,8,11.5,14,0.057700001,542.6002197,0.005595709,15.1269989,1500,7,0.977199972,700,0.5,1.503389001,0.193468377,13,4,0.526199996,1900,0.5,2,4,13,9.5,7,0.044600002,37470.79822,0.020996537,37.363102,-80.521592,1286.300806,1265.886344,0.097175644,0.269948387,8.605122149,-0.16813521,1.186123935,3.445685327,1.556139957,0.751865271,0.643088148,2.55682983,0.218257754,0.397144786,1297.515991,1269.042969,0.999182284,0.975281358,13.66472054,0.185302734,1.985366821,1283.802002,1263.865967,-0.993674934,-0.999325514,6.279366493,-0.482299805,0.881118774,13.71398926,5.177001953,1.992857218,1.974606872,7.385354042,0.667602539,1.104248047,0,1,0,0,0
MLBS_006,MLBS,0.837547771,350.8889416,0.102370433,0.132368344,0.39563998,0.381440464,0.033546875,0.011520527,0.1002,0.0084,0.0918,0.119059089,0.617501208,1.840391501,-1.483360688,3.323752188,0.434311472,0.873139803,0.039222989,0.929400387,0.70070372,0.228696667,-6.02998e-4,0.015938499,0.064516129,-0.045389393,0.109905522,-0.022435234,0.007318449,-0.00515,-0.047075,0.041925,0.547181194,0.052877864,0.65571205,0.33900865,0.3167034,0.140535686,0.042125746,0.274579167,0.0382375,0.236341667,0.051608659,0.017105367,0.138112025,0.01256519,0.125546835,0.32642973,0.084393199,0.567905455,0.112295909,0.455609545,23.41531217,162.5,8.0625,0.923087489,806.25,0.921425,1.420115959,0.209461863,17.5,11.875,0.497024992,1187.5,0.078575002,2.90625,5.75,10.5,15.25,18,0.070899999,2554.518513,0.014654961,1.780323021,131.0216267,0.928708781,0.188577356,92.87087811,0.062804017,0.290123175,0.037346225,1.788854382,1.087811258,0.101543273,162.788206,0.06280402,0.455292946,0.605530071,0.98319208,1.303840481,1.712697677,0.013779453,1128.285421,0.004558232,26.35899925,400,10,1.193799973,1000,1,1.836611629,0.255369633,21,14,0.642799973,1400,0.190500006,3.5,7,12,17.5,21,0.093999997,4840.700195,0.024238972,18.89599991,0,7,0.530300021,700,0.809499979,0.815787613,0.132778347,15,10,0.28549999,800,0,2,4.5,8,12,14,0.0385,811.5997314,0.009559914,7.462999344,400,3,0.663499951,300,0.190500021,1.020824015,0.122591287,6,4,0.357299984,600,0.190500006,1.5,2.5,4,5.5,7,0.055499997,4029.100464,0.014679058,37.426796,-80.564062,801.3509979,777.9356918,0.21168956,0.394916081,2.263157308,0.026184082,0.322247982,1.854753286,0.466161769,0.694166406,0.608805168,0.48525832,0.104007973,0.061409844,804.2639771,778.8499756,0.981300712,0.978269637,3.189920664,0.207702637,0.434120178,796.3480225,777.3179932,-0.843328953,-0.797273576,1.510209441,-0.120727539,0.207733154,7.91595459,1.531982422,1.824629664,1.775543213,1.679711223,0.328430176,0.226387024,0,1,0,0,0
MLBS_009,MLBS,1.181738553,88.57096916,0.076878795,0.241589883,0.413261432,0.287449427,0.056514921,0.021290658,0.1485,0.0191,0.1294,0.353577059,0.535720202,1.888023193,-1.208380586,3.096403779,0.458204129,0.799957915,0.088689994,0.923839332,0.487327559,0.436511774,-0.039773083,0.017380053,0.039800995,-0.098305085,0.13810608,-0.025303937,0.008956892,-0.00415,-0.05055,0.0464,0.422425599,0.079995944,0.596378601,0.200111794,0.396266807,0.181463961,0.039637053,0.3709,0.073795,0.297105,0.079169365,0.025467142,0.196929114,0.028621519,0.168307595,0.329048997,0.078613816,0.554859091,0.128781818,0.426077273,19.60079969,53.33333333,8.333333333,0.924519996,833.3333333,0.966846673,1.422322051,0.193834202,14.53333333,9.133333333,0.497806668,780,0.033153333,2.566666667,4.766666667,8.566666667,12.4,14.76666667,0.060486667,5532.346749,0.255302702,1.013931316,51.63977795,1.988059595,0.158476487,198.8059595,0.032184393,0.243819253,0.031646278,4.517690097,1.125462868,0.08532974,233.6052837,0.032184398,0.457737708,0.416904694,0.495215201,0.712139633,0.530049414,0.010387621,8728.998009,0.241570603,21.4810009,100,12,1.207599998,1200,1,1.857907534,0.249023274,19,11,0.650300026,1100,0.066699997,3,5,9,14,16,0.078400001,22652.09961,0.55956769,18.02499962,0,6,0.74970001,600,0.933300018,1.153364062,0.121616662,6,7,0.403699994,400,0,2,4,8,11.5,14,0.037300002,799.0997314,0.008128106,3.456001282,100,6,0.457899988,600,0.066699982,0.704543471,0.127406612,13,4,0.246600032,700,0.066699997,1,1,1,2.5,2,0.041099999,21852.99988,0.551439584,37.374427,-80.518481,1197.558545,1177.957739,-0.167470641,-0.050868636,4.774848193,0.142272949,0.658813477,1.674548643,1.01738714,0.721822068,0.716214527,1.150607739,0.036795173,0.086350422,1200.352051,1179.458984,0.996357381,0.972550631,7.000775814,0.193847656,0.78326416,1195.478027,1176.073975,-0.991779208,-0.987312734,2.847536802,0.108032227,0.583740234,4.874023438,3.385009766,1.98813659,1.959863365,4.153239012,0.08581543,0.199523926,0,1,0,0,0
MLBS_010,MLBS,0.705397924,80.41651579,0.029619007,0.153711272,0.313368363,0.302277926,0.0467605,0.013694489,0.0949,0.01405,0.08085,0.103908621,0.549627498,1.771349306,-1.298308536,3.069657842,0.429269979,0.827510614,0.065532266,0.937888199,0.522263451,0.415624748,-0.033437421,0.016225711,0.045392022,-0.076838639,0.122230661,-0.023291313,0.00856358,-0.00545,-0.051875,0.046425,0.450766559,0.066538342,0.667335563,0.236817761,0.430517802,0.154192484,0.034155804,0.266456667,0.06564,0.200816667,0.065606037,0.017244466,0.118450633,0.022403797,0.096046835,0.307173811,0.080135231,0.548571364,0.124284545,0.424286818,17.31849992,43.75,8.6875,0.953562498,868.75,0.968050003,1.467002042,0.227679049,10.125,7.625,0.513443746,512.5,0.03195,2.03125,4.1875,7.53125,10.6875,13,0.0634875,1644.094025,0.015544207,1.235527995,51.23475383,1.352466882,0.148079758,135.2466882,0.03785287,0.227813849,0.07113172,4.616997581,1.024695077,0.079727579,174.642492,0.037852873,0.125,0.442530602,0.670043531,0.963932916,1.197219,0.017546087,399.0496789,0.002972247,19.38400078,100,11,1.307000041,1100,1,2.010705233,0.422628045,16,9,0.703700006,800,0.090899996,2.5,5,9,12,15,0.107299998,2364.799316,0.019948691,14.41600037,0,6,0.698700011,600,0.909099996,1.074900746,0.136596709,5,5,0.376199991,200,0,2,3.5,6,8.5,10.5,0.036400001,1128.499756,0.011184414,4.968000412,100,5,0.60830003,500,0.090900004,0.935804486,0.286031336,11,4,0.327500015,600,0.090899996,0.5,1.5,3,3.5,4.5,0.070899997,1236.299561,0.008764277,37.365557,-80.526339,1254.540932,1237.222443,0.042409732,-0.072396756,4.558283284,0.153305054,0.660402298,1.11769597,1.000304363,0.681779814,0.770930445,1.433880214,0.329891427,0.184229435,1257.036011,1238.739014,0.981305718,0.963281095,7.020418167,0.535766602,1.017150879,1252.83606,1235.494019,-0.990935206,-0.996763468,2.269296169,-0.767211914,0.415527344,4.199951172,3.244995117,1.972240925,1.960044563,4.751121998,1.302978516,0.601623535,0,1,0,0,0
MLBS_011,MLBS,1.076568911,81.27495586,0.074812388,0.0995097,0.365073385,0.16913887,0.041870969,0.008987425,0.08175,0.02065,0.0611,0.442335087,0.41116675,1.582356762,-0.937923238,2.52028,0.45358764,0.868363503,0.034653385,0.919678715,0.668337328,0.251341386,-0.03898077,0.013025446,0.006501951,-0.115666179,0.122168129,-0.030691422,0.006979264,-0.01105,-0.0511,0.04005,0.48151489,0.051860971,0.600764958,0.332608696,0.268156262,0.161872251,0.022060636,0.243073333,0.078035833,0.1650375,0.062020384,0.011016952,0.112375949,0.028950633,0.083425316,0.367750424,0.063869271,0.551491364,0.184295909,0.367195455,15.84021412,42.85714286,8.642857143,1.114071425,864.2857143,0.964128571,1.713974212,0.347210264,7.785714286,6.714285714,0.599900009,357.1428571,0.035871428,2,3.964285714,6.607142857,9.321428571,11.42857143,0.095671429,1276.157017,0.038240364,0.817940873,51.3552591,1.499083969,0.277722546,149.9083969,0.043159801,0.427256675,0.140901854,3.964817804,0.726273039,0.149538567,139.8586414,0.0431598,0,0.133630621,0.446291188,0.668153105,0.780954614,0.042933498,245.0264959,0.010441531,17.51000023,100,11,1.864300013,1100,1,2.868196011,0.720950127,14,8,1.003900051,700,0.090899996,2,4,7,11,13,0.209600002,1815.100464,0.058514882,14.46399975,0,6,0.760399997,600,0.909099996,1.169927835,0.168014511,5,6,0.409500003,200,0,2,3.5,6,8.5,10.5,0.0403,871.5993652,0.025956862,3.046000481,100,5,1.103900015,500,0.090900004,1.698268175,0.552935615,9,2,0.594400048,500,0.090899996,0,0.5,1,2.5,2.5,0.169300001,943.5010986,0.03255802,37.359447,-80.521145,1299.835353,1283.995143,0.049482847,-0.380495004,6.294041246,0.080464681,1.015627543,1.603980629,1.296260328,0.69318649,0.655071862,1.276661203,0.09361513,0.099143406,1301.755981,1286.207031,0.988389969,0.995319068,8.591337204,0.184204102,1.176483154,1296.878052,1281.579956,-0.954044759,-0.999109089,4.2116518020000004,-0.086425781,0.904876709,4.877929688,4.627075195,1.942434728,1.994428158,4.379685402,0.270629883,0.271606445,0,1,0,0,0
