"","adjDecimalLatitude","adjDecimalLongitude","adjEasting","adjNorthing","sampleID","sampleTiming","horizon","sampleTopDepth","sampleBottomDepth","siteID","plotID","collectDate","biomassID","correctedTotLipidConc"
"271",40.1868733457923,-105.540740066579,453968.54556,4448638.83542,"RMNP_004-M-34.5-25.5-20200629","peakGreenness","M",8.3,26.5,"RMNP","RMNP_004",2020-06-29 17:06:00,"RMNP_004-M-34.5-25.5-20200629-BM",90.49
"272",40.1868733457923,-105.540740066579,453968.54556,4448638.83542,"RMNP_004-O-34.5-25.5-20200629","peakGreenness","O",0,8.3,"RMNP","RMNP_004",2020-06-29 17:06:00,"RMNP_004-O-34.5-25.5-20200629-BM",360.63
"273",40.1867112092572,-105.540732905545,453969.04556,4448620.83542,"RMNP_004-M-35-7.5-20200629","peakGreenness","M",5.8,20.3,"RMNP","RMNP_004",2020-06-29 17:47:00,"RMNP_004-M-35-7.5-20200629-BM",141.64
"274",40.1867112092572,-105.540732905545,453969.04556,4448620.83542,"RMNP_004-O-35-7.5-20200629","peakGreenness","O",0,5.8,"RMNP","RMNP_004",2020-06-29 17:47:00,"RMNP_004-O-35-7.5-20200629-BM",434.04
"275",40.1866508388209,-105.541120080093,453936.04556,4448614.33542,"RMNP_004-O-2-1-20200629","peakGreenness","O",0,4.6,"RMNP","RMNP_004",2020-06-29 19:07:00,"RMNP_004-O-2-1-20200629-BM",455.38
"276",40.1866508388209,-105.541120080093,453936.04556,4448614.33542,"RMNP_004-M-2-1-20200629","peakGreenness","M",4.6,15.5,"RMNP","RMNP_004",2020-06-29 19:25:00,"RMNP_004-M-2-1-20200629-BM",169.48
"278",40.196879779765,-105.486799073991,458566.47766,4449722.92523,"RMNP_013-M-13.5-31-20200629","peakGreenness","M",8.8,20,"RMNP","RMNP_013",2020-06-29 21:12:00,"RMNP_013-M-13.5-31-20200629-BM",153.4
"279",40.196879779765,-105.486799073991,458566.47766,4449722.92523,"RMNP_013-O-13.5-31-20200629","peakGreenness","O",0,8.8,"RMNP","RMNP_013",2020-06-29 21:12:00,"RMNP_013-O-13.5-31-20200629-BM",226.28
"280",40.1974849333067,-105.472317807787,459799.40148,4449783.43549,"RMNP_002-M-16.5-31-20200629","peakGreenness","M",0,12,"RMNP","RMNP_002",2020-06-29 21:19:00,"RMNP_002-M-16.5-31-20200629-BM",63.55
"281",40.1967680542164,-105.486586795703,458584.47766,4449710.42523,"RMNP_013-M-31.5-18.5-20200629","peakGreenness","M",0,34,"RMNP","RMNP_013",2020-06-29 22:11:00,"RMNP_013-M-31.5-18.5-20200629-BM",103.56
"282",40.1969392531406,-105.486582144998,458584.97766,4449729.42523,"RMNP_013-O-32-37.5-20200629","peakGreenness","O",0,6,"RMNP","RMNP_013",2020-06-29 22:33:00,"RMNP_013-O-32-37.5-20200629-BM",254.07
"283",40.1969392531406,-105.486582144998,458584.97766,4449729.42523,"RMNP_013-M-32-37.5-20200629","peakGreenness","M",6,26,"RMNP","RMNP_013",2020-06-29 22:33:00,"RMNP_013-M-32-37.5-20200629-BM",84.1
"284",40.1973404507247,-105.47239904797,459792.40148,4449767.43549,"RMNP_002-O-9.5-15-20200629","peakGreenness","O",0,3,"RMNP","RMNP_002",2020-06-29 23:02:00,"RMNP_002-O-9.5-15-20200629-BM",300.16
"285",40.1973404507247,-105.47239904797,459792.40148,4449767.43549,"RMNP_002-M-9.5-15-20200629","peakGreenness","M",3,17,"RMNP","RMNP_002",2020-06-29 23:12:00,"RMNP_002-M-9.5-15-20200629-BM",75.95
"300",40.2757604168698,-105.546531396421,453536.3311,4458507.92006,"RMNP_041-M-39-4.5-20200701","peakGreenness","M",0,30,"RMNP","RMNP_041",2020-07-01 13:28:00,"RMNP_041-M-39-4.5-20200701-BM",145.34
"305",40.2757226582305,-105.546895729536,453505.3311,4458503.92006,"RMNP_041-O-8-0.5-20200701","peakGreenness","O",0,3.9,"RMNP","RMNP_041",2020-07-01 14:24:00,"RMNP_041-O-8-0.5-20200701-BM",207.65
"306",40.2757226582305,-105.546895729536,453505.3311,4458503.92006,"RMNP_041-M-8-0.5-20200701","peakGreenness","M",3.9,28,"RMNP","RMNP_041",2020-07-01 14:24:00,"RMNP_041-M-8-0.5-20200701-BM",118.41
"308",40.2760739799132,-105.546904441277,453504.8311,4458542.92006,"RMNP_041-M-7.5-39.5-20200701","peakGreenness","M",2.8,33.5,"RMNP","RMNP_041",2020-07-01 15:21:00,"RMNP_041-M-7.5-39.5-20200701-BM",72.8
"309",40.2760739799132,-105.546904441277,453504.8311,4458542.92006,"RMNP_041-O-7.5-39.5-20200701","peakGreenness","O",0,2.8,"RMNP","RMNP_041",2020-07-01 15:21:00,"RMNP_041-O-7.5-39.5-20200701-BM",216.28
"311",40.2767183657032,-105.545494872474,453625.10666,4458613.706,"RMNP_043-M-10.5-8-20200701","peakGreenness","M",2.7,25,"RMNP","RMNP_043",2020-07-01 16:24:00,"RMNP_043-M-10.5-8-20200701-BM",98.23
"312",40.2767183657032,-105.545494872474,453625.10666,4458613.706,"RMNP_043-O-10.5-8-20200701","peakGreenness","O",0,2.7,"RMNP","RMNP_043",2020-07-01 16:24:00,"RMNP_043-O-10.5-8-20200701-BM",231.11
"315",40.2769394456743,-105.545420191583,453631.60666,4458638.206,"RMNP_043-M-17-32.5-20200701","peakGreenness","M",3.7,32.5,"RMNP","RMNP_043",2020-07-01 17:23:00,"RMNP_043-M-17-32.5-20200701-BM",125.11
"316",40.2769394456743,-105.545420191583,453631.60666,4458638.206,"RMNP_043-O-17-32.5-20200701","peakGreenness","O",0,3.7,"RMNP","RMNP_043",2020-07-01 17:23:00,"RMNP_043-O-17-32.5-20200701-BM",247.5
"319",40.2766703408662,-105.545171013598,453652.60666,4458608.206,"RMNP_043-M-38-2.5-20200701","peakGreenness","M",4.5,31,"RMNP","RMNP_043",2020-07-01 18:11:00,"RMNP_043-M-38-2.5-20200701-BM",99.24
"320",40.2766703408662,-105.545171013598,453652.60666,4458608.206,"RMNP_043-O-38-2.5-20200701","peakGreenness","O",0,4.5,"RMNP","RMNP_043",2020-07-01 18:11:00,"RMNP_043-O-38-2.5-20200701-BM",244.07
"323",40.2775181162201,-105.545812860581,453598.61968,4458702.64186,"RMNP_045-M-1-39-20200701","peakGreenness","M",0,32,"RMNP","RMNP_045",2020-07-01 20:29:00,"RMNP_045-M-1-39-20200701-BM",144.12
"325",40.2774071959301,-105.545453203874,453629.11968,4458690.14186,"RMNP_045-O-31.5-26.5-20200701","peakGreenness","O",0,3.8,"RMNP","RMNP_045",2020-07-01 21:23:00,"RMNP_045-O-31.5-26.5-20200701-BM",431.15
"326",40.2774071959301,-105.545453203874,453629.11968,4458690.14186,"RMNP_045-M-31.5-26.5-20200701","peakGreenness","M",3.8,26.5,"RMNP","RMNP_045",2020-07-01 21:23:00,"RMNP_045-M-31.5-26.5-20200701-BM",157.31
