"domainID","siteID","year","boutNumber","plotID","totalSampledArea","plotAlphaDiversity","plotGammaDiversity","plotBetaDiversity"
"D07","MLBS","2023",1,"MLBS_001",1,8.5,45,5.29411764705882
"D07","MLBS","2023",1,"MLBS_001",10,16.8333333333333,45,2.67326732673267
"D07","MLBS","2023",1,"MLBS_001",100,28.75,45,1.56521739130435
"D07","MLBS","2023",1,"MLBS_001",400,45,45,1
"D07","MLBS","2023",1,"MLBS_002",1,9,54,6
"D07","MLBS","2023",1,"MLBS_002",10,16.8333333333333,54,3.20792079207921
"D07","MLBS","2023",1,"MLBS_002",100,32.75,54,1.64885496183206
"D07","MLBS","2023",1,"MLBS_002",400,54,54,1
"D07","MLBS","2023",1,"MLBS_003",1,5.33333333333333,41,7.6875
"D07","MLBS","2023",1,"MLBS_003",10,11.6666666666667,41,3.51428571428571
"D07","MLBS","2023",1,"MLBS_003",100,25.5,41,1.6078431372549
"D07","MLBS","2023",1,"MLBS_003",400,41,41,1
"D07","MLBS","2023",1,"MLBS_004",1,8.33333333333333,62,7.44
"D07","MLBS","2023",1,"MLBS_004",10,18.8333333333333,62,3.29203539823009
"D07","MLBS","2023",1,"MLBS_004",100,40.25,62,1.54037267080745
"D07","MLBS","2023",1,"MLBS_004",400,62,62,1
"D07","MLBS","2023",1,"MLBS_005",1,8.5,40,4.70588235294118
"D07","MLBS","2023",1,"MLBS_005",10,13.6666666666667,40,2.92682926829268
"D07","MLBS","2023",1,"MLBS_005",100,28.25,40,1.41592920353982
"D07","MLBS","2023",1,"MLBS_005",400,40,40,1
"D07","MLBS","2023",1,"MLBS_006",1,22.8333333333333,106,4.64233576642336
"D07","MLBS","2023",1,"MLBS_006",10,40.8333333333333,106,2.59591836734694
"D07","MLBS","2023",1,"MLBS_006",100,69.5,106,1.52517985611511
"D07","MLBS","2023",1,"MLBS_006",400,106,106,1
"D07","MLBS","2023",1,"MLBS_007",1,11.3333333333333,72,6.35294117647059
"D07","MLBS","2023",1,"MLBS_007",10,21.3333333333333,72,3.375
"D07","MLBS","2023",1,"MLBS_007",100,43.75,72,1.64571428571429
"D07","MLBS","2023",1,"MLBS_007",400,72,72,1
"D07","MLBS","2023",1,"MLBS_008",1,10.1666666666667,66,6.49180327868852
"D07","MLBS","2023",1,"MLBS_008",10,22.6666666666667,66,2.91176470588235
"D07","MLBS","2023",1,"MLBS_008",100,42.25,66,1.56213017751479
"D07","MLBS","2023",1,"MLBS_008",400,66,66,1
"D07","MLBS","2023",1,"MLBS_009",1,12,65,5.41666666666667
"D07","MLBS","2023",1,"MLBS_009",10,22.6666666666667,65,2.86764705882353
"D07","MLBS","2023",1,"MLBS_009",100,38.25,65,1.69934640522876
"D07","MLBS","2023",1,"MLBS_009",400,65,65,1
"D07","MLBS","2023",1,"MLBS_010",1,10,60,6
"D07","MLBS","2023",1,"MLBS_010",10,20,60,3
"D07","MLBS","2023",1,"MLBS_010",100,35,60,1.71428571428571
"D07","MLBS","2023",1,"MLBS_010",400,60,60,1
"D07","MLBS","2023",1,"MLBS_011",1,10.1666666666667,52,5.11475409836066
"D07","MLBS","2023",1,"MLBS_011",10,19.5,52,2.66666666666667
"D07","MLBS","2023",1,"MLBS_011",100,33.75,52,1.54074074074074
"D07","MLBS","2023",1,"MLBS_011",400,52,52,1
"D07","MLBS","2023",1,"MLBS_012",1,4.66666666666667,50,10.7142857142857
"D07","MLBS","2023",1,"MLBS_012",10,15.1666666666667,50,3.2967032967033
"D07","MLBS","2023",1,"MLBS_012",100,30.75,50,1.6260162601626
"D07","MLBS","2023",1,"MLBS_012",400,50,50,1
"D07","MLBS","2023",1,"MLBS_013",1,8.66666666666667,47,5.42307692307692
"D07","MLBS","2023",1,"MLBS_013",10,16.5,47,2.84848484848485
"D07","MLBS","2023",1,"MLBS_013",100,32,47,1.46875
"D07","MLBS","2023",1,"MLBS_013",400,47,47,1
"D07","MLBS","2023",1,"MLBS_014",1,13,73,5.61538461538461
"D07","MLBS","2023",1,"MLBS_014",10,28.8,73,2.53472222222222
"D07","MLBS","2023",1,"MLBS_014",100,57,73,1.28070175438596
"D07","MLBS","2023",1,"MLBS_014",400,73,73,1
"D07","MLBS","2023",1,"MLBS_015",1,8,70,8.75
"D07","MLBS","2023",1,"MLBS_015",10,25.1666666666667,70,2.78145695364238
"D07","MLBS","2023",1,"MLBS_015",100,46.75,70,1.49732620320856
"D07","MLBS","2023",1,"MLBS_015",400,70,70,1
"D07","MLBS","2023",1,"MLBS_016",1,6.33333333333333,54,8.52631578947368
"D07","MLBS","2023",1,"MLBS_016",10,17.1666666666667,54,3.14563106796116
"D07","MLBS","2023",1,"MLBS_016",100,33.75,54,1.6
"D07","MLBS","2023",1,"MLBS_016",400,54,54,1
"D07","MLBS","2023",1,"MLBS_017",1,6.5,57,8.76923076923077
"D07","MLBS","2023",1,"MLBS_017",10,14.3333333333333,57,3.97674418604651
"D07","MLBS","2023",1,"MLBS_017",100,33.75,57,1.68888888888889
"D07","MLBS","2023",1,"MLBS_017",400,57,57,1
"D07","MLBS","2023",1,"MLBS_018",1,5.83333333333333,37,6.34285714285714
"D07","MLBS","2023",1,"MLBS_018",10,13.6666666666667,37,2.70731707317073
"D07","MLBS","2023",1,"MLBS_018",100,26.75,37,1.38317757009346
"D07","MLBS","2023",1,"MLBS_018",400,37,37,1
"D07","MLBS","2023",1,"MLBS_019",1,12.3333333333333,83,6.72972972972973
"D07","MLBS","2023",1,"MLBS_019",10,29.1666666666667,83,2.84571428571429
"D07","MLBS","2023",1,"MLBS_019",100,56,83,1.48214285714286
"D07","MLBS","2023",1,"MLBS_019",400,83,83,1
"D07","MLBS","2023",1,"MLBS_020",1,13.3333333333333,62,4.65
"D07","MLBS","2023",1,"MLBS_020",10,23,62,2.69565217391304
"D07","MLBS","2023",1,"MLBS_020",100,40.5,62,1.53086419753086
"D07","MLBS","2023",1,"MLBS_020",400,62,62,1
"D07","MLBS","2023",1,"MLBS_021",1,9.33333333333333,67,7.17857142857143
"D07","MLBS","2023",1,"MLBS_021",10,20.1666666666667,67,3.32231404958678
"D07","MLBS","2023",1,"MLBS_021",100,41,67,1.63414634146341
"D07","MLBS","2023",1,"MLBS_021",400,67,67,1
"D07","MLBS","2023",1,"MLBS_061",1,8.5,41,4.82352941176471
"D07","MLBS","2023",1,"MLBS_061",10,14.8333333333333,41,2.76404494382022
"D07","MLBS","2023",1,"MLBS_061",100,29.75,41,1.3781512605042
"D07","MLBS","2023",1,"MLBS_061",400,41,41,1
"D07","MLBS","2023",1,"MLBS_063",1,7.5,52,6.93333333333333
"D07","MLBS","2023",1,"MLBS_063",10,17.6666666666667,52,2.94339622641509
"D07","MLBS","2023",1,"MLBS_063",100,32.25,52,1.61240310077519
"D07","MLBS","2023",1,"MLBS_063",400,52,52,1
"D07","MLBS","2023",1,"MLBS_064",1,7.33333333333333,49,6.68181818181818
"D07","MLBS","2023",1,"MLBS_064",10,17.6666666666667,49,2.77358490566038
"D07","MLBS","2023",1,"MLBS_064",100,34.25,49,1.43065693430657
"D07","MLBS","2023",1,"MLBS_064",400,49,49,1
